Survived,Pclass,Sex,Age,Parch,Fare,Embarked,Ticket_type,Words_Count,Has_Cabin,FamilySize,IsAlone,Title
0,1,1,4,0,3,1,137,4,1,1,1,1
1,1,1,1,1,3,1,137,4,1,2,0,1
1,2,0,2,1,2,0,34,7,0,2,0,3
0,2,1,2,0,2,0,43,3,0,2,0,1
0,3,0,1,0,0,0,83,3,0,1,1,2
0,3,1,1,0,0,0,83,4,0,1,1,1
0,1,1,1,1,3,0,85,4,1,2,0,1
0,3,1,2,0,1,0,116,4,0,1,1,1
0,3,1,2,0,1,0,66,4,0,3,0,1
0,3,1,1,0,0,0,83,3,0,1,1,1
1,3,0,1,0,0,0,78,4,0,1,1,2
1,3,1,1,0,0,0,67,4,0,1,1,1
0,3,1,2,0,0,0,83,3,0,1,1,1
1,3,0,2,0,2,2,95,3,0,2,0,2
0,1,1,2,0,3,0,0,4,1,1,1,1
0,3,0,0,0,2,1,50,3,0,2,0,2
0,3,1,1,0,1,0,71,4,0,1,1,1
0,3,0,1,0,1,0,106,3,0,2,0,2
0,3,0,1,0,2,1,46,3,0,1,1,2
0,3,1,1,0,1,0,148,3,0,1,1,1
0,3,1,4,0,0,2,94,3,0,1,1,1
0,2,1,1,0,2,0,4,5,0,2,0,1
0,1,1,1,1,3,1,137,4,1,2,0,1
0,3,0,0,2,3,0,81,5,0,7,0,2
0,2,1,1,0,3,0,140,4,0,3,0,1
0,3,1,2,0,1,0,126,4,0,1,1,1
0,2,1,1,0,2,1,38,3,0,2,0,1
1,2,0,1,0,1,0,55,3,1,1,1,2
0,1,1,3,1,3,0,85,4,1,2,0,1
1,3,1,0,0,1,1,49,3,0,2,0,4
0,3,1,1,0,0,2,94,3,0,1,1,1
1,3,1,1,0,0,0,127,4,0,1,1,1
1,3,0,1,1,2,1,50,3,1,3,0,2
0,3,1,2,0,0,0,81,3,0,1,1,1
0,3,1,2,0,0,1,83,3,0,1,1,1
0,3,1,1,0,0,0,147,4,0,1,1,1
0,3,0,2,0,2,0,124,7,0,2,0,3
1,2,0,1,0,2,0,31,6,0,2,0,3
0,2,1,1,0,1,0,130,5,0,1,1,1
0,2,1,1,0,2,1,144,3,0,1,1,1
1,1,0,1,2,2,0,5,4,1,3,0,2
0,1,1,2,0,3,0,3,4,1,2,0,1
0,3,1,0,0,1,0,115,4,0,1,1,1
0,1,1,1,0,3,1,137,3,1,1,1,1
0,3,0,2,2,2,1,51,4,0,3,0,3
1,3,0,1,0,0,0,81,4,0,1,1,2
1,3,0,1,0,2,0,148,7,0,2,0,3
0,3,1,1,0,0,2,90,3,0,1,1,1
0,2,1,1,0,1,0,34,4,0,1,1,1
0,2,1,1,1,3,0,130,4,0,3,0,1
1,3,1,1,0,0,0,84,5,0,1,1,1
0,3,0,0,2,3,0,150,5,0,5,0,2
0,2,1,2,2,2,0,33,6,1,3,0,1
0,2,1,2,0,1,0,43,5,0,1,1,5
0,2,1,3,0,1,0,140,4,0,1,1,5
1,1,0,1,0,3,0,3,5,1,2,0,3
0,3,1,3,0,1,0,122,3,0,1,1,1
0,3,1,2,2,2,0,124,5,0,3,0,1
0,3,1,1,0,0,0,134,4,0,1,1,1
0,1,1,3,1,3,1,137,4,0,2,0,1
1,3,0,0,0,0,2,86,4,0,1,1,2
0,3,1,1,0,1,0,147,3,0,1,1,1
0,3,1,1,0,1,0,69,3,0,1,1,1
0,3,1,1,2,3,0,132,4,0,11,0,4
0,3,1,2,1,2,0,95,4,0,2,0,1
1,2,0,2,0,2,0,130,7,0,1,1,3
0,3,1,1,0,0,0,81,4,0,1,1,1
0,3,1,1,0,1,0,69,3,0,1,1,1
0,3,1,0,1,3,0,66,4,0,6,0,4
1,3,1,0,2,2,0,88,6,0,3,0,4
1,1,0,2,1,3,0,3,5,1,2,0,3
0,3,0,2,4,2,0,81,6,0,6,0,3
0,1,1,2,0,2,0,137,4,0,1,1,1
0,3,1,1,0,3,0,16,3,0,1,1,1
0,1,1,3,0,3,0,1,5,1,1,1,1
0,3,1,0,1,2,2,100,3,0,6,0,4
1,3,0,0,1,1,0,81,4,0,3,0,2
0,3,1,1,0,1,0,148,4,0,1,1,1
0,1,1,3,0,2,1,19,4,1,1,1,1
0,3,1,1,1,0,0,84,4,0,3,0,1
0,3,1,1,1,2,0,106,4,0,5,0,4
0,1,0,3,0,2,1,137,4,1,1,1,2
0,2,1,1,0,1,0,45,3,0,1,1,1
0,3,1,2,0,0,0,135,3,0,1,1,1
0,3,0,2,2,3,0,132,4,0,11,0,2
0,2,1,2,0,2,1,144,3,0,1,1,1
0,3,1,0,2,3,0,81,5,0,7,0,4
1,2,1,0,1,3,0,33,4,1,4,0,4
1,3,0,0,2,2,0,69,4,0,3,0,2
0,1,1,0,0,3,0,3,4,1,1,1,1
1,3,0,1,0,2,2,94,6,0,2,0,3
1,1,1,2,0,2,0,1,7,0,1,1,1
0,3,1,2,1,2,2,89,3,0,3,0,1
0,3,1,2,0,0,0,83,3,0,1,1,1
1,2,0,1,0,1,0,36,3,0,1,1,3
0,2,1,1,0,1,0,59,3,0,1,1,1
1,3,0,1,0,0,0,84,5,0,2,0,2
1,2,1,0,1,2,0,33,4,1,3,0,4
1,1,0,2,0,2,1,137,6,1,1,1,3
1,1,0,3,0,3,1,137,3,1,1,1,2
0,3,1,1,0,0,2,92,3,0,1,1,1
0,3,1,2,1,1,0,107,5,0,2,0,1
1,3,0,1,0,0,2,94,4,0,1,1,2
0,2,0,1,0,1,0,44,5,0,1,1,2
0,3,1,1,0,1,0,79,5,0,1,1,1
0,3,1,1,2,3,0,132,3,0,11,0,1
0,3,1,2,0,0,0,66,4,0,1,1,1
0,3,1,2,0,0,1,46,3,0,1,1,1
1,3,1,1,0,1,0,124,4,0,1,1,1
0,3,0,0,1,1,0,81,4,1,2,0,2
0,3,1,1,0,2,0,66,4,0,2,0,1
1,3,1,1,0,2,1,53,4,0,1,1,1
1,3,0,0,0,0,2,91,4,0,1,1,2
1,1,1,2,0,2,1,2,3,1,1,1,1
0,3,1,1,0,0,0,147,3,0,1,1,1
1,2,0,2,0,2,0,133,4,0,1,1,2
0,3,1,1,0,0,0,124,4,0,1,1,1
0,2,1,1,0,1,0,45,4,0,1,1,1
0,3,1,1,0,0,2,91,3,0,2,0,1
1,1,0,1,0,3,1,85,3,1,2,0,2
1,3,0,1,0,1,0,148,3,0,1,1,2
0,2,1,2,0,2,0,42,4,0,2,0,1
1,1,0,1,0,3,1,6,3,1,1,1,2
0,2,1,1,0,1,0,152,3,0,1,1,1
1,3,1,0,0,1,0,147,4,0,1,1,1
0,2,1,1,0,1,0,27,4,0,1,1,1
0,3,1,3,0,1,0,24,4,0,1,1,1
0,3,1,1,0,0,0,83,3,0,1,1,1
1,1,1,2,0,3,0,21,4,1,2,0,1
0,3,1,1,0,1,0,138,5,0,1,1,1
1,2,1,1,0,1,0,149,4,0,1,1,1
0,3,1,1,0,0,0,124,5,0,1,1,1
0,2,1,1,0,1,0,37,4,0,1,1,1
0,3,0,1,1,2,0,106,3,0,5,0,2
1,1,0,2,0,3,0,93,6,1,2,0,3
0,3,1,1,0,0,0,81,4,0,1,1,1
0,2,1,3,0,1,0,38,4,0,1,1,1
1,3,0,0,2,3,0,81,4,0,7,0,2
0,2,1,1,0,1,0,130,5,0,1,1,1
0,3,0,1,0,0,0,150,4,0,1,1,2
0,2,1,2,0,2,0,51,3,0,2,0,1
1,2,0,0,2,2,0,130,4,0,3,0,2
0,2,1,1,0,1,0,61,4,0,1,1,1
0,2,1,2,0,1,0,145,4,0,1,1,1
0,3,0,1,0,2,1,50,3,0,2,0,2
1,3,0,1,0,2,2,91,4,0,2,0,2
0,2,1,1,0,1,0,150,4,0,1,1,1
0,3,1,1,0,0,0,148,4,0,1,1,1
0,3,1,1,0,0,1,53,3,0,1,1,1
0,1,1,2,0,3,2,21,4,1,3,0,5
0,3,0,1,0,0,0,81,5,0,1,1,2
1,2,0,1,2,2,0,45,4,0,3,0,3
1,1,1,2,1,3,0,5,4,1,3,0,1
0,2,1,3,0,2,0,43,4,0,2,0,5
0,3,1,0,0,0,0,87,4,0,1,1,1
0,3,0,1,1,1,0,81,6,1,3,0,3
0,1,1,3,0,2,0,3,4,1,1,1,1
0,3,1,1,0,2,0,124,4,0,2,0,1
0,3,0,2,2,2,0,94,5,0,3,0,3
1,3,0,1,2,2,1,49,6,0,3,0,3
1,1,0,1,0,3,1,137,4,0,1,1,3
1,1,0,1,0,3,0,0,3,1,1,1,2
1,1,0,2,0,3,1,137,3,0,1,1,2
1,2,0,3,1,2,0,33,4,0,2,0,3
0,3,1,1,0,0,2,102,3,0,1,1,1
1,3,1,0,2,3,0,81,5,0,7,0,4
0,1,1,3,1,3,0,0,3,1,3,0,1
0,1,1,2,0,0,0,2,3,1,1,1,1
0,3,0,2,0,0,2,100,3,0,1,1,2
0,2,1,2,0,1,0,130,3,0,1,1,1
0,3,1,0,1,3,0,66,4,0,6,0,1
1,3,1,1,0,0,0,81,4,0,2,0,1
1,1,0,3,1,3,0,137,6,1,2,0,3
1,1,0,2,0,3,0,137,3,1,1,1,2
0,1,1,2,0,2,0,3,3,0,1,1,1
1,3,1,1,0,0,0,135,4,0,1,1,1
1,2,0,2,1,2,0,45,5,0,2,0,3
0,1,1,2,1,2,1,137,4,1,2,0,1
1,3,0,1,0,0,2,94,4,0,1,1,2
1,1,0,3,0,3,0,13,4,1,2,0,2
0,3,0,2,0,0,0,81,4,0,1,1,2
0,2,1,1,0,0,0,39,4,0,1,1,1
0,3,1,0,1,2,2,100,3,0,6,0,4
1,3,0,2,1,2,0,130,5,0,3,0,3
0,3,1,4,0,0,2,75,3,0,1,1,1
0,3,1,1,0,0,0,81,5,0,1,1,1
0,3,1,0,0,1,0,79,4,0,1,1,1
1,3,1,1,0,1,0,124,4,0,1,1,1
0,1,1,1,0,2,0,3,4,1,1,1,1
0,3,1,2,0,1,1,83,3,0,1,1,1
1,3,1,1,0,1,0,79,4,0,1,1,1
0,3,1,1,0,0,0,83,3,0,1,1,1
1,2,1,2,0,1,0,38,3,0,1,1,1
1,3,0,1,0,0,2,94,3,0,1,1,2
1,1,0,1,0,3,0,20,4,0,1,1,2
1,1,0,1,0,3,1,7,6,1,2,0,3
0,2,1,2,0,1,1,144,4,1,1,1,1
0,3,0,1,0,1,0,83,3,0,1,1,2
0,3,1,1,0,0,0,83,3,0,1,1,1
0,1,1,0,0,2,1,137,4,0,1,1,1
0,3,1,1,0,0,1,53,3,0,1,1,1
0,1,0,0,2,3,0,3,4,1,4,0,2
1,1,1,1,0,2,0,21,3,1,1,1,1
1,1,0,3,1,3,1,137,6,1,2,0,3
1,3,0,2,0,0,2,120,6,0,1,1,2
1,3,1,1,0,2,2,91,3,0,3,0,1
0,3,1,1,0,0,0,135,5,0,1,1,1
1,2,0,1,0,1,2,30,4,1,1,1,2
0,3,1,2,0,1,0,124,5,0,1,1,1
1,1,1,0,2,3,0,3,4,1,4,0,4
1,1,0,2,0,3,1,18,3,0,1,1,2
1,1,0,1,0,3,1,137,14,1,2,0,3
0,2,1,1,0,2,1,136,3,0,2,0,1
1,1,0,1,0,3,1,137,4,1,1,1,2
1,1,0,1,0,3,1,5,4,1,1,1,2
1,1,0,1,2,3,1,137,4,1,5,0,2
0,2,0,1,1,2,0,45,5,0,3,0,3
0,3,1,1,0,0,0,83,3,0,1,1,1
0,2,1,2,1,2,0,133,3,0,3,0,1
1,3,0,1,0,0,0,81,4,0,1,1,2
1,2,0,1,0,2,0,43,5,0,2,0,3
0,2,1,3,0,1,0,62,3,0,1,1,5
1,1,0,1,2,3,0,93,4,1,3,0,2
1,1,0,2,1,3,1,17,7,1,3,0,3
0,3,1,1,0,0,0,124,3,0,1,1,1
0,3,1,1,0,0,0,83,3,0,1,1,1
1,2,0,1,0,1,2,36,4,0,1,1,2
1,2,0,1,1,2,0,44,7,0,3,0,3
0,3,1,2,2,3,0,132,5,0,11,0,1
1,1,0,2,0,3,1,137,4,1,1,1,2
0,3,1,3,0,0,0,79,4,0,1,1,1
1,2,0,2,0,1,0,60,5,1,1,1,3
1,3,0,1,1,2,0,88,7,0,3,0,3
1,1,0,0,1,3,1,1,4,1,2,0,2
1,3,0,1,0,2,2,91,3,0,3,0,2
0,1,1,2,0,2,0,3,3,1,1,1,1
0,1,1,2,1,3,0,137,4,1,2,0,1
0,3,1,0,0,2,0,79,5,0,3,0,1
1,1,0,1,0,3,0,137,6,0,2,0,3
0,3,1,0,0,0,0,83,3,0,1,1,1
0,1,1,1,0,3,0,3,4,1,2,0,1
1,1,0,2,0,3,1,17,4,1,1,1,2
1,3,1,2,0,1,0,118,4,0,1,1,1
0,1,1,2,0,3,0,3,4,1,1,1,1
1,2,1,0,1,2,0,33,4,1,3,0,4
1,1,0,1,2,3,0,21,4,1,6,0,2
0,2,1,1,0,1,0,44,4,0,1,1,1
0,2,1,1,0,1,0,43,5,0,1,1,1
0,2,1,2,0,1,0,32,4,0,1,1,1
1,2,0,1,0,1,0,44,4,1,1,1,2
1,2,0,2,0,1,0,68,4,0,1,1,2
1,3,0,1,0,2,0,103,7,0,2,0,3
1,3,1,0,1,2,0,130,5,0,3,0,4
0,3,1,2,0,1,0,69,3,0,1,1,1
0,3,1,1,0,1,0,114,4,0,1,1,1
0,1,1,1,0,3,0,3,4,1,1,1,1
0,3,1,0,1,0,1,53,3,0,3,0,1
0,3,1,1,0,2,0,83,3,0,2,0,1
0,3,1,0,0,0,1,48,3,0,1,1,1
0,3,1,1,0,1,0,79,5,0,1,1,1
1,1,0,1,1,3,0,3,4,1,2,0,2
0,2,0,2,0,1,0,38,4,0,1,1,2
1,3,0,2,0,0,2,72,3,0,1,1,2
1,3,0,1,0,0,2,72,5,0,1,1,2
0,3,1,2,4,2,0,81,3,0,6,0,1
0,2,1,1,0,2,1,144,4,0,2,0,1
0,3,0,2,1,2,1,53,4,0,2,0,3
0,3,1,2,0,0,0,147,3,0,1,1,1
0,3,1,1,0,2,2,94,3,0,2,0,1
0,3,1,1,0,0,0,129,5,0,1,1,1
1,1,0,3,0,3,1,0,7,1,2,0,3
1,3,0,1,0,0,1,46,4,0,1,1,3
1,3,0,2,0,0,2,14,3,0,1,1,2
1,1,0,1,0,3,1,137,4,1,1,1,3
1,1,1,1,0,3,1,5,4,1,2,0,1
0,3,1,1,0,0,0,66,4,0,2,0,1
0,3,1,1,0,1,0,70,4,0,1,1,1
0,1,1,1,0,3,1,137,3,0,1,1,1
0,3,0,0,1,2,0,83,4,0,5,0,2
1,1,0,1,0,3,1,137,6,0,2,0,3
1,3,0,1,0,0,0,129,4,0,1,1,2
0,1,1,1,2,3,1,3,4,1,3,0,1
0,3,1,1,0,0,1,48,3,0,1,1,1
0,3,1,1,0,0,0,81,4,0,1,1,1
1,1,0,2,0,3,1,137,3,0,1,1,2
1,3,0,0,2,2,1,49,4,0,3,0,2
0,3,1,1,0,1,0,148,3,0,1,1,1
1,1,0,2,0,3,0,3,7,0,2,0,3
0,3,1,2,0,0,0,83,3,0,1,1,1
0,2,1,1,0,3,0,140,4,0,1,1,1
0,3,1,0,2,3,0,131,4,0,8,0,4
1,2,0,2,0,1,0,56,3,0,1,1,2
0,3,1,1,0,0,2,91,3,0,1,1,1
1,2,0,1,0,1,1,143,3,0,1,1,2
1,1,1,2,2,3,0,3,4,1,4,0,1
1,3,1,1,0,0,0,84,4,0,1,1,1
0,3,1,1,0,1,0,66,4,0,3,0,1
1,1,0,1,0,3,1,85,3,1,2,0,2
1,3,0,1,2,2,0,138,6,1,3,0,3
0,3,1,1,0,0,0,84,3,0,1,1,1
0,3,0,1,0,0,0,84,3,0,1,1,2
0,2,1,2,0,2,0,59,4,0,1,1,1
0,2,1,1,0,1,0,43,3,0,1,1,5
1,2,0,1,0,1,0,40,6,0,1,1,3
1,3,1,2,0,1,0,148,3,0,1,1,1
0,3,1,1,0,1,0,76,3,0,1,1,1
0,3,0,1,0,1,0,106,4,0,2,0,2
0,3,1,1,0,2,0,148,4,0,2,0,1
0,3,0,1,0,1,0,69,3,0,1,1,2
0,2,1,2,0,2,0,61,3,0,2,0,1
0,3,1,3,0,0,0,81,4,0,1,1,1
1,2,1,0,1,2,0,63,4,0,3,0,4
0,3,1,1,0,0,0,67,5,0,1,1,1
0,3,0,1,1,2,0,106,3,0,5,0,2
0,3,1,1,0,0,0,83,3,0,1,1,1
0,3,1,1,0,0,2,105,3,0,1,1,1
1,1,0,2,0,3,2,21,4,1,2,0,2
0,2,1,1,0,0,0,39,4,0,1,1,1
1,3,1,2,0,1,0,148,4,0,1,1,1
0,3,0,2,0,1,0,78,6,0,1,1,3
1,2,0,2,1,3,0,58,7,0,3,0,3
1,2,0,1,2,1,0,45,4,0,3,0,2
0,2,1,1,0,1,0,58,4,0,1,1,1
0,3,0,0,2,2,0,79,4,0,3,0,2
0,3,1,1,0,0,1,83,3,0,1,1,1
0,3,1,1,0,0,2,124,3,0,1,1,1
0,3,1,1,0,0,0,69,3,0,1,1,1
0,3,0,1,1,1,0,81,8,0,3,0,3
0,3,1,1,1,2,0,94,4,0,3,0,1
0,3,1,1,0,0,0,123,3,0,1,1,1
1,2,0,1,0,2,0,22,7,0,2,0,3
1,2,0,1,0,2,0,45,9,0,1,1,2
0,3,1,2,0,0,2,89,3,0,1,1,1
1,3,1,1,0,1,0,147,5,1,1,1,1
1,1,1,1,0,2,0,0,4,1,1,1,1
1,3,0,0,0,2,0,99,6,0,2,0,3
1,2,0,2,0,2,0,144,7,0,2,0,3
0,3,1,1,0,0,0,148,4,0,1,1,1
0,1,1,3,0,3,0,13,4,1,2,0,1
1,1,0,0,2,3,0,3,4,1,4,0,2
0,3,0,1,2,3,0,150,5,0,5,0,2
1,2,0,1,3,2,0,63,5,0,6,0,3
0,1,1,3,4,3,0,21,3,1,6,0,1
0,2,1,1,0,1,0,130,5,0,1,1,1
1,2,0,2,1,2,0,133,6,0,3,0,3
0,3,1,1,0,1,0,79,3,0,1,1,1
0,3,1,1,0,0,0,81,4,0,2,0,1
1,2,0,1,0,1,0,33,3,0,1,1,2
1,3,1,0,0,1,0,110,3,0,1,1,1
1,1,1,0,2,3,0,75,3,1,3,0,4
1,2,0,0,1,2,0,45,4,0,2,0,2
1,1,1,2,0,2,0,3,4,0,1,1,1
1,3,0,0,1,2,1,50,4,0,4,0,2
1,1,1,3,0,2,0,3,4,1,1,1,5
0,2,1,2,2,2,0,130,4,0,4,0,1
0,3,1,1,0,2,0,110,5,0,2,0,1
0,1,1,1,0,2,1,3,4,1,1,1,1
1,1,1,3,0,3,1,18,4,1,2,0,1
0,3,1,1,0,1,0,124,3,0,1,1,1
1,3,1,1,0,0,1,83,3,0,1,1,1
0,1,1,4,0,2,0,13,4,1,1,1,1
1,1,0,1,0,3,0,18,5,1,2,0,3
1,2,0,3,0,1,0,133,3,0,1,1,2
0,3,1,1,0,0,2,95,3,0,1,1,1
1,1,1,2,0,2,0,21,3,1,1,1,1
0,3,1,2,0,1,0,89,3,0,1,1,1
0,1,1,2,0,3,0,1,4,1,1,1,1
0,2,1,2,0,1,0,36,4,0,1,1,1
0,3,1,0,0,1,0,125,3,0,1,1,1
0,3,1,2,0,0,0,147,4,0,1,1,1
0,2,1,1,0,0,0,39,3,0,1,1,1
0,1,1,3,0,2,0,3,4,0,1,1,1
0,3,1,1,0,0,2,87,3,0,1,1,1
1,3,0,0,1,2,1,50,4,0,4,0,2
0,3,1,2,0,0,0,70,3,0,1,1,1
0,3,1,2,0,1,0,69,3,0,1,1,1
1,2,0,2,2,2,0,130,7,0,4,0,3
1,2,0,1,0,1,1,144,7,1,1,1,3
0,3,0,1,0,1,0,117,4,0,1,1,2
0,1,1,1,0,3,0,0,4,1,1,1,1
0,2,1,2,0,2,0,66,4,0,2,0,1
0,3,1,1,0,0,0,80,4,0,2,0,1
0,3,1,1,0,0,0,84,4,0,1,1,1
1,3,0,0,1,1,0,66,4,0,2,0,2
0,3,1,0,2,3,0,131,4,0,8,0,4
0,2,1,1,0,0,0,39,5,0,1,1,1
0,3,1,3,0,1,0,124,4,0,1,1,1
1,3,0,3,0,1,0,106,3,0,1,1,3
1,1,1,1,0,3,1,7,4,1,2,0,1
0,3,0,1,1,2,0,106,3,0,5,0,2
1,1,0,2,0,3,0,21,7,1,2,0,3
0,1,1,3,0,2,1,5,4,1,1,1,1
0,3,1,1,0,1,0,122,4,0,1,1,1
1,3,1,0,1,2,0,130,5,0,3,0,4
0,3,1,0,0,2,0,110,5,0,2,0,1
0,3,1,1,0,0,0,147,3,0,1,1,1
0,1,1,3,0,2,0,3,4,1,1,1,1
0,1,1,4,0,3,1,137,3,0,1,1,1
0,3,1,1,0,1,0,123,4,0,1,1,1
0,3,1,1,0,2,1,46,3,0,1,1,1
1,1,0,3,0,3,1,93,4,1,2,0,2
0,3,1,1,0,2,0,130,4,0,1,1,1
0,1,0,1,2,3,0,3,8,1,4,0,3
0,3,1,1,0,0,0,84,3,0,1,1,1
0,3,1,1,0,1,0,69,3,0,1,1,1
0,3,0,1,0,0,2,89,3,0,1,1,2
0,3,0,2,0,0,2,72,4,0,1,1,2
0,3,0,2,0,1,0,106,4,0,1,1,2
1,1,0,0,0,3,0,0,3,1,1,1,2
0,1,1,1,0,3,1,137,7,1,2,0,1
1,2,0,2,2,2,0,47,6,0,3,0,3
1,1,1,1,0,2,0,1,6,0,1,1,1
0,3,1,1,0,2,0,128,4,0,1,1,1
1,3,1,1,0,3,0,16,3,0,1,1,1
1,3,1,1,0,0,2,100,4,0,1,1,1
0,3,1,1,0,1,0,147,3,0,1,1,1
1,1,1,2,0,2,0,137,4,1,1,1,1
1,1,0,3,0,3,1,137,6,0,2,0,3
0,3,1,1,0,0,0,83,3,0,1,1,1
0,1,1,2,0,3,0,93,4,1,1,1,1
1,2,0,2,0,1,0,130,4,1,1,1,3
0,3,1,1,0,2,2,95,3,0,1,1,1
1,2,0,2,0,2,0,30,8,0,2,0,3
0,3,1,1,0,0,0,83,3,0,1,1,1
1,1,0,1,0,3,0,10,3,1,1,1,2
0,3,1,1,0,0,0,83,3,0,1,1,1
0,3,1,1,0,0,1,46,3,0,1,1,1
1,1,0,2,1,3,1,1,7,1,2,0,3
0,3,1,2,0,0,1,54,3,0,1,1,1
0,3,1,2,0,0,2,91,3,0,1,1,1
1,2,0,3,0,1,0,150,3,0,1,1,2
0,1,1,0,0,3,0,137,3,1,1,1,1
0,3,1,2,0,1,0,66,4,0,1,1,1
0,2,1,1,1,1,0,63,4,0,4,0,1
1,2,0,0,1,2,0,47,4,0,3,0,2
0,3,1,0,0,0,1,48,3,0,1,1,1
0,3,1,1,1,0,1,53,4,0,3,0,1
