PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,FamilySize,Singleton,SmallFamily,LargeFamily,Embarked_C,Embarked_Q,Embarked_S,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Survived
28,1,2,19.0,3,2,23,263.0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,3,1,18.0,0,0,81,7.8792,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
30,3,2,26.0,0,0,92,7.8958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,1,2,40.0,0,0,154,27.7208,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32,1,1,45.0,1,0,154,146.5208,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
33,3,1,18.0,0,0,83,7.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
34,2,2,66.0,0,0,146,10.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35,1,2,28.0,1,0,154,82.1708,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,1,2,42.0,1,0,3,52.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,3,2,26.0,0,0,58,7.2292,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
38,3,2,21.0,0,0,136,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
39,3,1,18.0,2,0,88,18.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40,3,1,14.0,1,0,56,11.2417,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
41,3,1,40.0,1,0,129,9.475,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
42,2,1,27.0,1,0,4,21.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
43,3,2,26.0,0,0,92,7.8958,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
44,2,1,3.0,1,2,161,41.5792,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
45,3,1,19.0,0,0,81,7.8792,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
46,3,2,26.0,0,0,156,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
47,3,2,26.0,1,0,105,15.5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
48,3,1,18.0,0,0,16,7.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
49,3,2,26.0,2,0,57,21.6792,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50,3,1,18.0,1,0,92,17.8,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
51,3,2,7.0,4,1,74,39.6875,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
52,3,2,21.0,0,0,138,7.8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
53,1,1,49.0,1,0,154,76.7292,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
54,2,1,29.0,1,0,72,26.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
55,1,2,65.0,0,1,3,61.9792,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
56,1,2,41.5,0,0,23,35.5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
57,2,1,21.0,0,0,146,10.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
58,3,2,28.5,0,0,60,7.2292,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
59,2,1,5.0,1,2,146,27.75,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
60,3,2,11.0,5,2,147,46.9,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
61,3,2,22.0,0,0,57,7.2292,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
62,1,1,38.0,0,0,3,80.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
63,1,2,45.0,1,0,104,83.475,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
64,3,2,4.0,3,2,90,27.9,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
65,1,2,41.5,0,0,154,27.7208,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66,3,2,6.0,1,1,57,15.2458,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
67,2,1,29.0,0,0,146,10.5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
68,3,2,19.0,0,0,158,8.1583,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
69,3,1,17.0,4,2,74,7.925,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
70,3,2,26.0,2,0,77,8.6625,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
71,2,2,32.0,0,0,146,10.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72,3,1,16.0,5,2,147,46.9,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
73,2,2,21.0,0,0,157,73.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
74,3,2,26.0,1,0,59,14.4542,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
75,3,2,32.0,0,0,18,56.4958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
76,3,2,25.0,0,0,91,7.65,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
77,3,2,26.0,0,0,92,7.8958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
78,3,2,26.0,0,0,109,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
79,2,2,0.83,0,2,50,29.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
80,3,1,30.0,0,0,99,12.475,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
81,3,2,22.0,0,0,88,9.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
82,3,2,29.0,0,0,88,9.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
83,3,1,18.0,0,0,81,7.7875,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
84,1,2,28.0,0,0,3,47.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
85,2,1,17.0,0,0,163,10.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
86,3,1,33.0,3,0,74,15.85,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
87,3,2,16.0,1,3,167,34.375,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
88,3,2,26.0,0,0,164,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
89,1,1,23.0,3,2,23,263.0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
90,3,2,24.0,0,0,87,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
91,3,2,29.0,0,0,87,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
92,3,2,20.0,0,0,90,7.8542,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
93,1,2,46.0,1,0,168,61.175,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
94,3,2,26.0,1,2,146,20.575,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
95,3,2,59.0,0,0,99,7.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
96,3,2,26.0,0,0,109,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
97,1,2,71.0,0,0,154,34.6542,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,1,2,23.0,0,1,154,63.3583,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
99,2,1,34.0,0,1,38,23.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
100,2,2,34.0,1,0,49,26.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
101,3,1,28.0,0,0,92,7.8958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
102,3,2,26.0,0,0,92,7.8958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
103,1,2,21.0,0,1,94,77.2875,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
104,3,2,33.0,0,0,129,8.6542,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
105,3,2,37.0,2,0,74,7.925,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
106,3,2,28.0,0,0,92,7.8958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
107,3,1,21.0,0,0,87,7.65,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
108,3,2,26.0,0,0,75,7.775,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
109,3,2,38.0,0,0,92,7.8958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
110,3,1,18.0,1,0,106,24.15,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
111,1,2,47.0,0,0,0,52.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
112,3,1,14.5,1,0,57,14.4542,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
113,3,2,22.0,0,0,79,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
114,3,1,20.0,1,0,117,9.825,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
115,3,1,17.0,0,0,53,14.4583,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
116,3,2,21.0,0,0,165,7.925,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
117,3,2,70.5,0,0,105,7.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
118,2,2,29.0,1,0,4,21.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
119,1,2,24.0,0,1,154,247.5208,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
120,3,1,2.0,4,2,90,31.275,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
121,2,2,21.0,2,0,157,73.5,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
122,3,2,26.0,0,0,141,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
123,2,2,32.5,1,0,43,30.0708,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
124,2,1,32.5,0,0,62,13.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
125,1,2,54.0,0,1,94,77.2875,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
126,3,2,12.0,1,0,56,11.2417,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
127,3,2,26.0,0,0,105,7.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
128,3,2,24.0,0,0,143,7.1417,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
129,3,1,18.0,1,1,57,22.3583,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
130,3,2,45.0,0,0,90,6.975,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
131,3,2,33.0,0,0,92,7.8958,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
132,3,2,20.0,0,0,164,7.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
133,3,1,47.0,1,0,139,14.5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
134,2,1,29.0,1,0,35,26.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
135,2,2,25.0,0,0,146,13.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
136,2,2,23.0,0,0,161,15.0458,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
137,1,1,19.0,0,2,5,26.2833,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
138,1,2,37.0,1,0,3,53.1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
139,3,2,16.0,0,0,128,9.2167,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
140,1,2,24.0,0,0,154,79.2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
141,3,1,31.0,0,2,58,15.2458,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
142,3,1,22.0,0,0,90,7.75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
143,3,1,24.0,1,0,165,15.85,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
144,3,2,19.0,0,0,100,6.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
145,2,2,18.0,0,0,38,11.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
146,2,2,19.0,1,1,146,36.75,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
147,3,2,27.0,0,0,93,7.7958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
148,3,1,9.0,2,2,167,34.375,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
149,2,2,36.5,0,2,37,26.0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
150,2,2,42.0,0,0,49,13.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
151,2,2,51.0,0,0,157,12.525,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
152,1,1,22.0,1,0,3,66.6,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
153,3,2,55.5,0,0,137,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
154,3,2,40.5,0,2,139,14.5,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
155,3,2,26.0,0,0,150,7.3125,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
156,1,2,51.0,0,1,154,61.3792,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
157,3,1,16.0,0,0,95,7.7333,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
158,3,2,30.0,0,0,164,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
159,3,2,26.0,0,0,77,8.6625,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
160,3,2,6.0,8,2,148,69.55,11,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
161,3,2,44.0,0,1,106,16.1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
162,2,1,40.0,0,0,146,15.75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
163,3,2,26.0,0,0,90,7.775,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
164,3,2,17.0,0,0,77,8.6625,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
165,3,2,1.0,4,1,74,39.6875,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
166,3,2,9.0,0,2,98,20.525,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
167,1,1,45.0,0,1,3,55.0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
168,3,1,45.0,1,4,90,27.9,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
169,1,2,41.5,0,0,154,25.925,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
170,3,2,28.0,0,0,18,56.4958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
171,1,2,61.0,0,0,1,33.5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
172,3,2,4.0,4,1,111,29.125,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
173,3,1,1.0,1,1,90,11.1333,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
174,3,2,21.0,0,0,165,7.925,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
175,1,2,56.0,0,0,21,30.6958,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
176,3,2,18.0,1,1,93,7.8542,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
177,3,2,6.0,3,1,117,25.4667,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
178,1,1,50.0,0,0,154,28.7125,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
179,2,2,30.0,0,0,51,13.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
180,3,2,36.0,0,0,151,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
181,3,1,18.0,8,2,148,69.55,11,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
182,2,2,30.0,0,0,161,15.05,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
183,3,2,9.0,4,2,90,31.3875,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
184,2,2,1.0,2,1,37,39.0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
185,3,1,4.0,0,2,77,22.025,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
186,1,2,41.5,0,0,3,50.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187,3,1,31.0,1,0,105,15.5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
188,1,2,45.0,0,0,1,26.55,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
189,3,2,40.0,1,1,99,15.5,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
190,3,2,36.0,0,0,92,7.8958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
191,2,1,32.0,0,0,40,13.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
192,2,2,19.0,0,0,67,13.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
193,3,1,19.0,1,0,93,7.8542,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
194,2,2,3.0,1,1,37,26.0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
195,1,1,44.0,0,0,154,27.7208,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
196,1,1,58.0,0,0,154,146.5208,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
197,3,2,26.0,0,0,103,7.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
198,3,2,42.0,0,1,118,8.4042,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
199,3,1,18.0,0,0,105,7.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
200,2,1,24.0,0,0,50,13.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
201,3,2,28.0,0,0,88,9.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
202,3,2,26.0,8,2,148,69.55,11,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
203,3,2,34.0,0,0,74,6.4958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
204,3,2,45.5,0,0,53,7.225,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
205,3,2,18.0,0,0,139,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
206,3,1,2.0,0,1,90,10.4625,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
207,3,2,32.0,1,0,74,15.85,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
208,3,2,26.0,0,0,60,18.7875,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
209,3,1,16.0,0,0,102,7.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
210,1,2,40.0,0,0,2,31.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
211,3,2,24.0,0,0,164,7.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
